BARRIO; COMUNA 
RETIRO;1
RECOLETA;2
BALVANERA;3
BOCA;4
ALMAGRO;5
CABALLITO;6
FLORES;7
VILLA LUGANO;8
MATADEROS;9
VELEZ SARSFIELD;10
VILLA DEL PARQUE;11
SAAVEDRA;12
COLEGIALES;13
PALERMO;14
CHACARITA;15
